name,description,adiabatic index,density kg/m^3,force J/kg,covolume m^3/kg,pressure exponent,isochoric adb flame temp K
M1,"Single Base,AMCP 706-150,ADA043778",1.2593,1569,911700,1.104e-3,0.951,2417
M2,"Double Base,AMCP 706-150,ADA043778",1.2238,1652,1076000,1.008e-3,0.933,3319
M5,"Double Base,AMCP 706-150,ADA043778",1.2238,1650,1061000,9.942e-4,0.948,3245
M6,"Single Base,AMCP 706-150,ADA043778",1.2543,1581,947500,1.081e-3,0.949,2570
M8,"Double Base,AMCP 706-150,ADA043778",1.2148,1620,1142000,9.621e-4,0.874,3695
M10,"Single Base,AMCP 706-150,ADA043778",1.2342,1670,1013000,1.003e-3,0.921,3000
M17,"Triple Base,AMCP 706-150,ADA043778",1.2402,1669,1088000,1.066e-3,0.836,3017
M30,"Triple Base,TM 9-1300-214,ADA060027",1.2385,1660,1088000,1.057e-3,0.933,3040
M31,"Triple Base,TM 9-1300-214,ADA147802",1.2527,1640,998300,1.115e-3,0.78787,2599
M31A1E1,"Triple Base,ADA292677,M31 values used when unavailable",1.2527,1640,986000,1.115e-3,0.68,2615
JA2 [1],"Modified Double Base,Manning et al.(2013)",1.23,1565,1153000,0.980e-3,0.84740,3458
JA2 [2],"Modified Double Base,ADA18175",1.225,1578,1140000,0.996e-3,0.95,3410
JA2 EQUIV,"Modified Double Base (Solventless Extrusion),Manning et al.(2013; 4% wt.plasticizer)",1.23,1532,1120000,1.01e-3,0.962,3229
XM39,"Nitramine,Hsien (1998),ARL-TR-2551 (α@0.2g/cc)",1.268,1636,1057100,1.026e-3,0.92,2636
M43,"Nitramine,Hsien (1998),ARL-TR-2551 (α@0.2g/cc)",1.259,1655,1173000,0.9917e-4,0.82,3052
ATK PRD20,"RDX/NENA Multi Base,US Patent 6241833 (90°F/32°C;α@0.2g/cc)",1.2366,1624,1205600,0.9342e-03,0.986,3372
ATK PRD(S)21,"RDX/NENA Multi Base,US Patent 6241833 (90°F/32°C;α@0.2g/cc)",1.2349,1634,1226100,0.9297e-03,1.035,3451
ATK PRD(S)22,"RDX/NENA Multi Base,US Patent 6241833 (90°F/32°C;α@0.2g/cc)",1.2324,1643,1249100,0.9260e-03,1.050,3551
HEMRL (India) LOVA,"RDX Inert Binder,Pillai et al.(2001)",1.262,1650,1105000,1.042e-3,0.82,2888